,level_0,level_1,m/z,time,Intens.,SN,Quality Fac.,Res.,Area,Rel. Intens.,FWHM,Chi^2,Bk. Peak,name,hep/hhep,SAA/IS_SAA,hep avg,hep std,SAA avg,SAA std
0,2-1_0_A1_1,0,1526.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,2_1,0.09724672491675214,0.0,0.09363703346105633,0.0038589224854798944,0.0,0.0
1,2-1_0_A1_1,1,1537.10355461408,22321.67512739202,20585.0,16.3272492380425,,635.6471352268157,53608.58591210009,0.7162242093176995,2.4181711352566713,,0.0,2_1,,,,,,
2,2-1_0_A1_1,2,2790.128221352548,29934.111122460614,4247.0,1.968414778626165,,524.8107701169102,15251.31351487431,0.14776799693817194,5.3164461939891225,,0.0,2_1,,,,,,
3,2-1_0_A1_1,3,2818.813181003804,30085.256407771318,28741.0,24.62572459057456,,549.8074125879452,156831.1275051182,1.0,5.126910107915136,,0.0,2_1,,,,,,
4,2-1_0_A2_1,0,1526.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,2_1,0.09002734200536051,0.0,0.09363703346105633,0.0038589224854798944,0.0,0.0
5,2-1_0_A2_1,1,1537.579816834851,22325.076729366527,14321.0,14.04569285349662,,632.8610294167424,36662.89545544601,0.6696123813531585,2.429569439995248,,0.0,2_1,,,,,,
6,2-1_0_A2_1,2,2790.488538312427,29936.01455802497,3204.0,1.716078794619108,,526.6208183655519,10252.54331119267,0.14981063262729696,5.298857244142254,,0.0,2_1,,,,,,
7,2-1_0_A2_1,3,2818.854648192208,30085.47433868691,21387.0,21.18373795620815,,560.945586852186,113882.5503765534,1.0,5.025183750906308,,0.0,2_1,,,,,,
8,2-10_0_B7_1,0,1526.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,2_10,0.16600085895427533,0.0,0.1648102371010542,0.001683793572486015,0.0,0.0
9,2-10_0_B7_1,1,1538.384757315501,22330.82463651748,1450.0,6.593236239218044,,891.7217876371807,2060.513599882926,0.9165613147914032,1.7251846693034165,,0.0,2_10,,,,,,
10,2-10_0_B7_1,2,2791.492169395827,29941.315753040733,844.0,1.589069281127212,,322.8738493650863,865.724812854106,0.5335018963337548,8.645767301641627,,0.0,2_10,,,,,,
11,2-10_0_B7_1,3,2819.768293235884,30090.27559025262,1582.0,8.084471928671745,,538.1970380789886,5215.182730425319,1.0,5.239286160512165,,0.0,2_10,,,,,,
12,2-10_0_B8_1,0,1526.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,2_10,0.16361961524783308,0.0,0.1648102371010542,0.001683793572486015,0.0,0.0
13,2-10_0_B8_1,1,1538.369522173564,22330.71585974596,2099.0,8.53521065618935,,661.3323341869656,3619.072025479717,0.8119922630560928,2.326167106383537,,0.0,2_10,,,,,,
14,2-10_0_B8_1,2,2791.594348553886,29941.85541075332,1077.0,2.194314002966424,,571.9321068877043,1747.228587934997,0.41663442940038686,4.880989045614115,,0.0,2_10,,,,,,
15,2-10_0_B8_1,3,2819.775239438246,30090.31208988138,2585.0,11.88189421536483,,585.6462226827337,10678.60100568313,1.0,4.814809914629677,,0.0,2_10,,,,,,
