,,m/z,time,Intens.,SN,Quality Fac.,Res.,Area,Rel. Intens.,FWHM,Chi^2,Bk. Peak,name,hep/hhep,SAA/IS_SAA
2-1_0_A1_1,0,1526,0,0,0,0,0,0,0,0,0,0,2_1,0.097246725,0
2-1_0_A1_1,1,1537.103555,22321.67513,20585,16.32724924,,635.6471352,53608.58591,0.716224209,2.418171135,,0,2_1,0.097246725,0
2-1_0_A1_1,2,2790.128221,29934.11112,4247,1.968414779,,524.8107701,15251.31351,0.147767997,5.316446194,,0,2_1,0.097246725,0
2-1_0_A1_1,3,2818.813181,30085.25641,28741,24.62572459,,549.8074126,156831.1275,1,5.126910108,,0,2_1,0.097246725,0
2-1_0_A2_1,0,1526,0,0,0,0,0,0,0,0,0,0,2_1,0.090027342,0
2-1_0_A2_1,1,1537.579817,22325.07673,14321,14.04569285,,632.8610294,36662.89546,0.669612381,2.42956944,,0,2_1,0.090027342,0
2-1_0_A2_1,2,2790.488538,29936.01456,3204,1.716078795,,526.6208184,10252.54331,0.149810633,5.298857244,,0,2_1,0.090027342,0
2-1_0_A2_1,3,2818.854648,30085.47434,21387,21.18373796,,560.9455869,113882.5504,1,5.025183751,,0,2_1,0.090027342,0
2-10_0_B7_1,0,1526,0,0,0,0,0,0,0,0,0,0,2_10,0.166000859,0
2-10_0_B7_1,1,1538.384757,22330.82464,1450,6.593236239,,891.7217876,2060.5136,0.916561315,1.725184669,,0,2_10,0.166000859,0
2-10_0_B7_1,2,2791.492169,29941.31575,844,1.589069281,,322.8738494,865.7248129,0.533501896,8.645767302,,0,2_10,0.166000859,0
2-10_0_B7_1,3,2819.768293,30090.27559,1582,8.084471929,,538.1970381,5215.18273,1,5.239286161,,0,2_10,0.166000859,0
2-10_0_B8_1,0,1526,0,0,0,0,0,0,0,0,0,0,2_10,0.163619615,0
2-10_0_B8_1,1,1538.369522,22330.71586,2099,8.535210656,,661.3323342,3619.072025,0.811992263,2.326167106,,0,2_10,0.163619615,0
2-10_0_B8_1,2,2791.594349,29941.85541,1077,2.194314003,,571.9321069,1747.228588,0.416634429,4.880989046,,0,2_10,0.163619615,0
2-10_0_B8_1,3,2819.775239,30090.31209,2585,11.88189422,,585.6462227,10678.60101,1,4.814809915,,0,2_10,0.163619615,0
2-11_0_G5_1,0,1526,0,0,0,0,0,0,0,0,0,0,2_11,0.225639485,0
2-11_0_G5_1,1,1538.56039,22332.07859,4050,14.92429692,,915.5616575,7968.874524,1,1.680455246,,0,2_11,0.225639485,0
2-11_0_G5_1,2,2791.223335,29939.89586,1145,2.180461046,,538.9222478,2680.692913,0.282716049,5.17926908,,0,2_11,0.225639485,0
2-11_0_G5_1,3,2820.206535,30092.5783,2923,13.45488843,,554.0709509,11880.42473,0.721728395,5.089973641,,0,2_11,0.225639485,0
2-11_0_G6_1,0,1526,0,0,0,0,0,0,0,0,0,0,2_11,0.192400802,0
2-11_0_G6_1,1,1538.586918,22332.26798,3541,14.00341798,,931.8641464,6742.512315,1,1.651085004,,0,2_11,0.192400802,0
